relation_type,source_id,target_id,direction
varword,03000101,0302230101,forward
generic,03000301,pwn_00040688R,forward
synonym,03000302,04007603,forward
synonym,03000302,04144102,forward
generic,03000302,pwn_00250254V,forward
varword,03000302,0503520201,forward
has_facet,03000401,0300040101,forward
has_facet,03000401,0300040102,forward
generic,03000401,pwn_01247684V,forward
generic,03000501,pwn_01212239V,forward
generic,03000601,pwn_00992533V,forward
synonym,03000602,05237505,forward
generic,03000602,pwn_00992533V,forward
generic,03000603,pwn_00823166V,forward
synonym,03000604,03000701,forward
synonym,03000604,03050001,forward
synonym,03000604,03049302,forward
synonym,03000604,04018205,forward
synonym,03000604,04018504,forward
synonym,03000604,03024802,forward
synonym,03000604,03015402,forward
synonym,03000604,04016402,forward
synonym,03000604,04015308,forward
synonym,03000604,04016002,forward
synonym,03000604,05198206,forward
synonym,03000604,06751102,forward
synonym,03000604,09038903,forward
synonym,03000604,06617408,forward
synonym,03000604,07046502,forward
synonym,03000604,09278202,forward
generic,03000604,pwn_00518267A,forward
synonym,03000605,04018207,forward
synonym,03000605,03000703,forward
synonym,03000605,04018505,forward
synonym,03000605,03050003,forward
synonym,03000605,03049303,forward
synonym,03000605,03015403,forward
synonym,03000605,04014104,forward
synonym,03000605,05198207,forward
synonym,03000605,04018303,forward
generic,03000605,pwn_00522821A,forward
varword,03000605,08056702,forward
synonym,03000606,03000702,forward
synonym,03000606,03050002,forward
synonym,03000606,03049304,forward
synonym,03000606,03015405,forward
synonym,03000606,04018209,forward
synonym,03000606,04018506,forward
synonym,03000606,03024803,forward
synonym,03000606,09278203,forward
generic,03000606,pwn_00439577A,forward
generic,03000607,pwn_05067694N,forward
varword,03000607,0805670101,forward
variant,03000607,08056701,forward
generic,03000608,pwn_01711244V,forward
varword,03000608,03000601,forward
generic,03000609,pwn_00833964V,forward
synonym,03000701,03000604,forward
synonym,03000701,03050001,forward
synonym,03000701,03049302,forward
synonym,03000701,03015402,forward
synonym,03000701,04018504,forward
synonym,03000701,04018205,forward
synonym,03000701,03024802,forward
synonym,03000701,04016402,forward
synonym,03000701,04015308,forward
synonym,03000701,04016002,forward
synonym,03000701,05198206,forward
synonym,03000701,06751102,forward
synonym,03000701,09038903,forward
synonym,03000701,06617408,forward
synonym,03000701,07046502,forward
synonym,03000701,09278202,forward
generic,03000701,pwn_00518267A,forward
synonym,03000702,03000606,forward
synonym,03000702,03050002,forward
synonym,03000702,03015405,forward
synonym,03000702,04018209,forward
synonym,03000702,04018506,forward
synonym,03000702,03049304,forward
synonym,03000702,03024803,forward
synonym,03000702,09278203,forward
generic,03000702,pwn_00439577A,forward
synonym,03000703,03000605,forward
synonym,03000703,04018207,forward
synonym,03000703,04018505,forward
synonym,03000703,03050003,forward
synonym,03000703,03049303,forward
synonym,03000703,03015403,forward
synonym,03000703,04014104,forward
synonym,03000703,05198207,forward
synonym,03000703,04018303,forward
synonym,03000703,08056702,forward
generic,03000703,pwn_00522821A,forward
generic,03000801,pwn_00162722R,forward
synonym,03000901,03001002,forward
synonym,03000901,04114309,forward
varword,03000901,04114308,forward
generic,03000902,pwn_01829006V,forward
synonym,03001001,03011201,forward
synonym,03001001,06048801,forward
synonym,03001002,03000901,forward
