sense_type,source_id,target_id
synonym,08060202,06732502
synonym,08060203,06732504
synonym,08060204,06750107
synonym,08060204,06576313
synonym,08060701,08037501
synonym,08060701,09297601
synonym,08060702,09297602
synonym,08060702,07079208
synonym,08060901,05099901
synonym,08060901,06009901
synonym,08061101,06523401
synonym,08061201,05132203
synonym,08061201,05132304
synonym,08061201,07104401
synonym,08061201,07043203
hypernym,08061501,04123402
synonym,08061601,0603580101
synonym,08061601,05165902
synonym,08061601,06755609
synonym,08061601,06792202
synonym,08061601,06721506
synonym,08061601,06687601
synonym,08061601,05098123
synonym,08061601,07063609
synonym,08061601,09300801
synonym,08061601,09017704
varword,08061601,06042701
synonym,08061601,06035801
hypernym,08062001,04123402
hypernym,08062101,04123402
synonym,08062302,09282401
synonym,08062302,06648502
synonym,08062302,06634001
synonym,08062302,07046601
synonym,08062302,09023401
synonym,08062302,06585401
nearsynonym,08062303,pwn_07147791N
synonym,08062801,07037406
synonym,08062801,09030302
synonym,08062801,09144901
hypernym,08062901,06552201
hypernym,08063001,06641001
hypernym,08063101,06641001
hypernym,08063201,06641001
hypernym,08063301,06641001
synonym,08063401,06674201
hypernym,08063401,06641001
synonym,08063402,06674202
hypernym,08063501,06641001
hypernym,08063701,06722201
varword,08064101,09221301
synonym,08064401,06706702
synonym,08064401,04015402
synonym,08064401,10013201
synonym,08064401,04000701
synonym,08064401,06549202
synonym,08064701,07071603
synonym,08064702,07071604
synonym,08065001,06619601
synonym,08065001,05223903
synonym,08065001,05229178
synonym,08065001,04105501
synonym,08065002,06619602
synonym,08065002,05223904
synonym,08065002,04105502
synonym,08065003,06619604
synonym,08065003,09158702
synonym,08065004,06619605
synonym,08065005,06619606
synonym,08065101,07129001
synonym,08065301,07045706
varword,08065301,09144801
varword,08065302,09144802
synonym,08065303,07045707
varword,08065303,09144803
varword,08065304,09144804
nearsynonym,08065305,pwn_04257600N
varword,08065305,09144805
varword,08065306,09144806
synonym,07031701,03048301
varword,07031701,07057611
synonym,07031704,04064701
hypernym,07031705,06579401
varword,07031706,07057607
varword,07031707,07057608
synonym,08066401,06656802
hypernym,08066401,06771901
hypernym,08066502,06769401
hypernym,08066602,07024504
synonym,08067001,07053101
synonym,08067001,04112601
synonym,08067001,05009501
synonym,08067001,08052001
varword,08067001,06757301
synonym,08067002,07053105
synonym,08067002,08052002
varword,08067002,06757305
hypernym,08067002,06612301
synonym,08067003,07023701
synonym,08067004,05119004
synonym,08067004,06757501
synonym,08067006,06702701
synonym,08067009,04016205
synonym,08067009,07042805
synonym,09261801,07021302
synonym,09261801,09086602
synonym,09261801,09232505
synonym,10002701,06724101
synonym,10002702,06724102
synonym,10002702,04108403
synonym,10002702,05184901
synonym,10002703,06724103
hyponym,10002703,pwn_00770753V
synonym,10002704,06724104
synonym,10002704,09261301
synonym,10002704,05035501
synonym,10002705,06724105
synonym,10002705,05035502
synonym,10002706,06724107
synonym,10002706,04114104
synonym,10002706,06773915
synonym,10002706,07033601
synonym,10002706,05210001
synonym,10002706,04160102
synonym,10002707,06724108
synonym,10002708,06724109
synonym,10002709,06724110
synonym,10002709,06581510
synonym,10002709,05130003
synonym,10002710,06724111
synonym,10002710,04108405
synonym,10002710,06749212
synonym,10002711,06724112
nearsynonym,10002711,pwn_00655737V
antonym,10002901,05230701
synonym,10002901,05230801
synonym,10002901,07122302
varword,10003001,05200701
varword,10003002,05200702
synonym,10003203,05163403
synonym,10003302,06539518
synonym,10003303,05163402
synonym,10003304,06539526
nearsynonym,10003402,pwn_01054427V
synonym,10003403,06760702
synonym,10003403,07072002
synonym,10003404,06760708
synonym,10003404,07072003
synonym,10003405,06760716
synonym,10003405,06539527
nearsynonym,10003405,pwn_00587660A
synonym,10003501,06539513
synonym,10003501,06685409
synonym,10003501,06664801
synonym,10003501,05086801
antonym,10003502,07073302
synonym,10003502,05086802
synonym,10003502,06539514
synonym,10003502,06685410
synonym,10003502,06664802
synonym,10003701,05230501
hypernym,10003701,06048701
synonym,10004001,05046801
synonym,10004001,03007201
synonym,10004001,05065801
synonym,10004001,06771101
synonym,10004002,05046802
synonym,10004002,03007202
synonym,10004002,05065802
synonym,10004002,06595912
synonym,10004002,06771102
synonym,10004301,04128201
synonym,10004302,04128202
synonym,10004601,06636602
hypernym,10004601,pwn_03993027N
synonym,10004901,09150601
synonym,10005301,06769801
varword,10005301,09257901
varword,10005302,09257902
varword,10005303,09257903
synonym,10005304,06769802
varword,10005304,09257904
synonym,10005701,05001001
synonym,10005701,07062404
varword,10006101,09308801
varword,10006102,09308802
varword,10006103,09308803
synonym,10006104,05098105
synonym,10006104,06664303
varword,10006104,09308804
synonym,10006105,05098106
synonym,10006105,06664304
varword,10006105,09308805
synonym,10006106,05098107
synonym,10006106,06664305
synonym,10006106,05229143
varword,10006106,09308806
varword,10006107,09308807
synonym,10006108,05098113
synonym,10006108,04081839
synonym,10006108,06664311
varword,10006108,09308808
synonym,10006109,04081840
synonym,10006109,06664312
synonym,10006109,05098114
varword,10006109,09308809
synonym,10006201,07012306
synonym,10006403,05085703
synonym,10006403,06648905
synonym,10006403,06597103
synonym,10006403,07097309
synonym,10006403,09188106
hypernym,10006501,10001401
antonym,10006601,05143601
antonym,10006602,05143602
antonym,10006603,05143603
antonym,10006604,05143604
varword,10006801,04020601
synonym,10007001,06735601
synonym,10007001,06565002
synonym,10007001,05122801
synonym,10007901,03001301
synonym,10007902,04019403
synonym,10007902,04019503
synonym,09294901,06585001
synonym,09294901,06744201
synonym,09294901,07025901
synonym,09294901,05148201
synonym,09294902,05050802
synonym,09295201,06739902
antonym,09295301,04081819
synonym,09295301,04081318
synonym,09295601,06711202
synonym,09295603,03033402
synonym,09295603,07055803
synonym,09295701,03018214
synonym,09295701,04143914
synonym,09295701,09130701
synonym,09295701,09291701
holonym,09295701,06694501
hypernym,09295701,05186501
synonym,09296201,07030302
synonym,09296201,04089901
synonym,09296201,06666701
synonym,09296401,06745903
synonym,09296401,06532002
synonym,09296401,06695304
synonym,09296501,06755701
synonym,09296502,06755702
synonym,09296503,06755704
synonym,09296601,05099601
synonym,09296602,05099602
synonym,09296602,05096601
synonym,09296602,09047501
synonym,09296603,05099603
antonym,09296804,06748407
synonym,09296804,06010611
varword,09296804,10015204
antonym,09296805,06748409
synonym,09296805,06010613
varword,09296805,10015205
antonym,09296806,06748413
synonym,09296806,06010616
varword,09296806,10015206
antonym,09296801,06512202
antonym,09296801,06748402
synonym,09296801,06010602
varword,09296801,10015201
varword,09296802,10015202
antonym,09296803,06512207
antonym,09296803,06748405
synonym,09296803,06010609
varword,09296803,10015203
antonym,09296902,07048401
synonym,09297001,05231407
synonym,09297001,06585923
synonym,09297001,06522707
synonym,09297001,09288701
synonym,09297002,05231404
synonym,09297002,06644003
synonym,09297002,06719502
synonym,09297002,06602902
synonym,09297003,05231408
synonym,09297003,06719503
synonym,09297201,09297401
synonym,09297304,05229190
synonym,09297602,07079208
synonym,09297701,05105801
synonym,09297702,05227005
synonym,09297702,05230103
synonym,09297702,05105802
synonym,09297702,06673803
synonym,09297703,05227008
synonym,09297703,04164901
synonym,09297703,05105803
synonym,09297704,05227009
synonym,09297704,05105804
synonym,09297705,05227013
synonym,09297705,05223809
synonym,09297705,06535105
synonym,09297705,08023007
synonym,09297705,07081907
synonym,09297705,05105805
synonym,09297706,05227018
synonym,09297706,03006403
synonym,09297706,05105806
synonym,09297707,05227019
synonym,09297707,03008210
synonym,09297707,05105807
synonym,09297708,05227020
